xtip [mm];ytip [mm];K1 [MPa.sqrt(m)];K2 [MPa.sqrt(m)];T [MPa]
63.827;19.695;2.0005;0.22433;-6.0267
62.783;20.663;1.819;0.1093;-3.1652
62.194;21.18;1.9251;0.13771;-2.0766
61.554;21.708;1.9962;0.13146;-1.1819
60.796;22.306;1.936;0.018675;-2.4362
60.253;22.716;1.9222;0.064421;-1.7383
59.759;23.07;1.9717;0.091463;-1.2673
59.34;23.364;1.9913;0.092746;-0.94384
58.781;23.739;2.0042;0.092303;-0.5063
58.465;23.946;1.9862;0.10966;-0.87138
58.109;24.169;1.9901;0.1072;-0.71795
57.773;24.379;2.0328;0.092523;-1.3867
57.397;24.604;2.0007;0.076141;-0.89259
56.9;24.894;2.0003;0.029256;-1.5609
56.6;25.066;1.9824;0.058242;-1.5946
56.259;25.252;2.0161;0.084128;-0.61431
55.919;25.437;2.101;0.10256;-1.4162
55.589;25.611;2.083;0.097898;-0.93187
55.198;25.81;2.0234;0.064256;-0.82155
54.796;26.014;1.9588;0.083125;-0.82788
54.554;26.13;2.0133;0.087176;-0.64922
54.223;26.286;2.0177;0.088131;-0.5775
53.852;26.461;2.0087;0.10662;-0.6167
53.52;26.61;2.0184;0.079345;-0.76031
53.186;26.756;1.9833;0.065959;-1.1769
52.847;26.905;2.0671;0.076967;-1.2342
52.569;27.021;2.0638;0.084223;-1.5467
52.26;27.146;2.0655;0.057603;-0.76091
51.897;27.295;2.0698;0.048714;-1.534
51.498;27.45;1.9903;0.01162;-1.6932
51.139;27.585;2.0663;0.0038737;-1.2357
50.72;27.743;1.9264;-0.019066;-2.0858
50.341;27.875;1.9448;-0.032043;-1.8931
50.045;27.979;2.0446;0.028886;-2.1561
49.686;28.104;2.0086;0.050236;-2.1768
49.373;28.205;2.0522;0.040658;-2.228
48.949;28.342;2.0445;-0.0066503;-1.7301
48.606;28.451;2.0535;-0.0055758;-1.9435
48.133;28.592;1.9738;-0.048416;-2.1308
47.719;28.716;2.0271;-0.14429;-3.057
47.29;28.836;1.9316;-0.0946;-2.4702
46.677;29.004;1.8779;-0.058745;-2.3716
46.432;29.068;1.9595;-0.041557;-2.4472
46.027;29.17;1.9564;-0.0072602;-1.9621
45.566;29.286;1.9697;-0.042151;-2.1067
45.011;29.415;1.9358;-0.075873;-2.7779
44.547;29.522;1.9543;-0.054433;-3.3782
43.974;29.645;1.896;-0.048362;-2.8083
43.66;29.711;2.0888;-0.018671;-2.8071
43.056;29.833;2.042;-0.080661;-3.3237
42.318;29.973;1.8935;-0.14244;-3.8075
41.794;30.065;1.9914;-0.1066;-4.2406
41.151;30.176;2.009;-0.04061;-3.7985
40.461;30.284;1.9792;-0.012907;-3.5972
39.888;30.37;2.0981;-0.0074245;-4.0044
39.041;30.489;1.993;-0.0082826;-3.6667
38.117;30.605;1.9178;-0.038331;-4.4389
37.227;30.707;1.9199;0.022644;-4.4048
36.292;30.804;1.9303;0.011899;-4.09
35.238;30.902;1.9431;0.032624;-4.5977
33.955;31.003;1.8664;0.021761;-4.5898
32.66;31.089;1.8812;0.089696;-5.0521
30.83;31.184;1.462;0.03644;-7.1412
29.268;31.243;1.8819;0.040215;-5.423
27.12;31.295;1.8082;0.10145;-6.5303
24.886;31.319;1.8753;0.048185;-6.5541
22.446;31.318;1.7563;0.052435;-6.137
20.368;31.3;1.7169;0.019288;-5.9453
18.827;31.28;1.5987;0.026088;-5.3598
17.936;31.266;1.7236;-0.018939;-5.7503
16.837;31.248;1.4963;-0.077461;-5.5423
16.183;31.237;1.4977;-0.021967;-5.1033
15.783;31.231;1.5717;-0.0072122;-4.7288
15.369;31.224;1.5375;0.0037198;-4.3364
15.037;31.219;1.5512;-0.010721;-4.3983
14.676;31.213;1.5147;-0.019493;-3.9854
14.39;31.208;1.4891;-0.025543;-4.0085
14.148;31.205;1.458;-0.035291;-3.8528
13.94;31.202;1.4552;-0.035217;-3.7872
13.821;31.2;1.5238;-0.043996;-4.0833
13.585;31.196;1.4868;-0.022759;-4.0025
13.356;31.193;1.413;-0.045658;-3.9242
13.178;31.19;1.4281;-0.043492;-3.9301
13.007;31.188;1.4202;-0.07608;-3.9124
12.853;31.186;1.3895;-0.076537;-3.9701
