Displacement [mm];Force [N]
0.00089112;12.083
-0.0012996;-5.7234
-0.0014128;0.6359
-0.0024581;19.714
-0.0047205;0.6359
-0.0028158;6.9952
-0.0040639;6.9952
0.001411;6.9952
0.0081029;70.588
0.010056;115.1
0.032332;286.81
0.063724;617.49
0.096966;897.3
0.13018;1272.5
0.1514;1520.5
0.14548;1431.5
0.16167;1584.1
0.18484;1844.8
0.21366;2124.6
0.24664;2487.1
0.28113;2830.5
0.31369;3193
0.34797;3657.2
0.38033;3905.3
0.41515;4229.6
0.43053;4350.4
0.4384;4604.8
0.4476;4464.9
0.45352;4553.9
0.45949;4553.9
0.46657;4585.7
0.47053;4611.1
0.47509;4623.9
0.47778;4642.9
0.48377;4668.4
0.4856;4706.5
0.49082;4642.9
0.49711;4757.4
0.49879;4814.6
0.50478;4808.3
0.50902;4865.5
0.51074;4871.9
0.51612;4922.8
0.52239;4948.2
0.52445;4967.3
0.52819;4992.7
0.53416;5030.9
0.5386;5049.9
0.54157;5113.5
0.54656;5107.2
0.54975;5139
0.5563;5177.1
0.55834;5196.2
0.56167;5228
0.56705;5285.2
0.57342;5304.3
0.57456;5336.1
0.57708;5361.5
0.58425;5412.4
0.58747;5431.5
0.59157;5469.7
0.59873;5495.1
0.59864;5558.7
0.60709;5577.8
0.60777;5590.5
0.61342;5622.3
0.61468;5660.4
0.62301;5692.2
0.62711;5743.1
0.63157;5762.2
0.6353;5781.3
0.63928;5838.5
0.6419;5832.1
0.64789;5895.7
0.64989;5927.5
0.65649;5965.7
0.65962;5927.5
0.6646;6022.9
0.66961;6035.6
0.67366;6061.1
0.67754;6080.1
0.6834;6118.3
0.68532;6143.7
0.68983;6181.9
0.69559;6213.7
0.69955;6251.8
0.70356;6245.5
0.70907;6251.8
0.71146;6296.4
0.71578;6315.4
0.72028;6347.2
0.72723;6328.2
0.7281;6347.2
0.73462;6576.2
0.73865;6379
0.74221;6398.1
0.74866;6429.9
0.75182;6449
0.7562;6449
0.75955;6518.9
0.76486;6493.5
0.76894;6557.1
0.77253;6601.6
0.77653;6627
0.78244;6614.3
0.78667;6665.2
0.792;6722.4
0.79556;6735.2
0.80022;6767
0.80475;6805.1
0.80595;6824.2
0.81077;6881.4
